record_type,channel_a,channel_b,observed_channel_count,firm_year_count,mature_firm_year_count,valid_channel_count,overlap_firm_year_count,l2_computable_firm_year_count,l2_status,l2_reason_code,l3_computable_firm_year_count,l3_status,l3_reason_code,anchor_source_status,anchor_source_ids
summary,,,,23411,21703,1,0,0,EMPIRICALLY_PENDING,L2_SCORING_FORMULA_NOT_LOCKED,0,UNAVAILABLE_BY_DESIGN,INSUFFICIENT_CHANNELS,AVAILABLE,sanction_evidence
observed_channel_distribution,,,0,23351,21643,1,,0,EMPIRICALLY_PENDING,L2_SCORING_FORMULA_NOT_LOCKED,0,UNAVAILABLE_BY_DESIGN,INSUFFICIENT_CHANNELS,AVAILABLE,sanction_evidence
observed_channel_distribution,,,1,60,60,1,,0,EMPIRICALLY_PENDING,L2_SCORING_FORMULA_NOT_LOCKED,0,UNAVAILABLE_BY_DESIGN,INSUFFICIENT_CHANNELS,AVAILABLE,sanction_evidence
